ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnVR,lnVR_var,lnCVR,lnCVR_var
es236,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Time in closed arms,time,s,light phase,2,Figure 1,Camargo_2013_fig_1B,0.silence_,0.music,0.silence_0.music,No,NA,10,10,169.29,17.274,54.627,NA,164.683,18.042,57.055,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,-0.02759080676497565,0.022415431950024874,0.04348744886882697,0.1111111111111111,0.0710782556338028,0.13352654306113598
es237,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out003,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,count,N/A,light phase,2,Figure 1,Camargo_2013_fig_1C,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,3.287,0.577,1.824,NA,8.304,0.857,2.709,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,-0.9267620317414506,0.04143536839269605,0.39554767145081837,0.1111111111111111,-0.5312143602906322,0.15254647950380715
es238,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out004,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Closed arm entries,count,N/A,light phase,2,Figure 1,Camargo_2013_fig_1D,0.silence_,0.music,0.silence_0.music,No,NA,10,10,11.398,1.209,3.823,NA,11.521,1.431,4.525,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,0.010733555643108851,0.02667609194511026,0.16858212243761386,0.1111111111111111,0.1578485667945049,0.13778720305622136
es239,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out005,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Risk assessment,time,s,light phase,2,Figure 1,Camargo_2013_fig_1E,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,74.858,7.372,23.314,NA,86.767,10.208,32.28,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,-0.14763337946426833,0.023540368828453215,0.3253938049041074,0.1111111111111111,0.1777604254398392,0.13465147993956433
es240,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out006,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Motion,time,s,light phase,2,Figure 2,Camargo_2013_fig_2A,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,121.61,11.017,34.839,NA,153.814,16.525,52.258,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,-0.23492487724409378,0.019750028664421403,0.4054555402408898,0.1111111111111111,0.170530662996796,0.13086113977553251
es241,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out007,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Motion,distance,m,light phase,2,Figure 2,Camargo_2013_fig_2B,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,4.3,0.377,1.192,NA,4.887,0.503,1.589,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,-0.12796359558850098,0.018256644860661118,0.2874723189114209,0.1111111111111111,0.15950872332292002,0.12936775597177222
es242,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out008,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Immobility,time,s,light phase,2,Figure 2,Camargo_2013_fig_2C,0.silence_,0.music,0.silence_0.music,No,NA,10,10,110.891,15.05,47.591,NA,128.317,23.762,75.143,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,0.14595602792236603,0.05271187037995613,0.45674929709120193,0.1111111111111111,0.310793269168836,0.16382298149106725
es243,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out009,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Rearing,time,s,light phase,2,Figure 2,Camargo_2013_fig_2D,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,56.201,10.914,34.513,NA,38.763,6.9,21.819,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,0.3714683669274545,0.06939543569116806,-0.45855491481534394,0.1111111111111111,-0.08708654788788942,0.18050654680227915
es244,Adjuvant effects of classical music on simvastatin induced reduction of anxiety but not object recognition memory in rats,10.3922/j.psns.2013.3.19,Psychology & Neuroscience,Camargo_2013_PSYN,2013,ex001,NA,out010,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,3-5 months,Mixed,young adults + adults,Factorial,NA,Independent,NA,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,5,NA,30,NA,Medium,light phase,classical,NA,Western Art Music / Orchestral,65-75,100-16000,2,ambiet sound,50,NA,Not applicable,2,Anxiety,Open Field Test,NA,Grooming,time,s,light phase,2,Figure 2,Camargo_2013_fig_2E,0.silence_,0.music,0.silence_0.music,Yes,NA,10,10,20.698,9.097,28.768,NA,7.717,2.658,8.404,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,8,Camargo_2013_PSYN_Ex-ID,0.9866113897705154,0.31177756161179954,-1.2305558753064558,0.1111111111111111,-0.24394448553594056,0.42288867272291064
es245,Effects of music on stress induced hormones and oxidative stress levels,10.17826/cumj.735738,Cukurova Medical Journal,Terzioglu_2020_CMJ,2020,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Mixed,Mixed,infantile to juvenile,Adolescent,30 d,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1,NA,11,NA,Short,Not reported,classical,NA,Western Art Music / Orchestral,60,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,Not reported,0,Figure 1,Terzioglu_2020_fig_1,control_,Classical,control_Classical,No,NA,12,11.333,62.205,12.441,43.097,NA,103.937,7.559,25.071,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,4,Terzioglu_2020_CMJ_Ex-ID,0.5133495639918381,0.04513423362183856,-0.5388074771871777,0.0938432031531809,-1.0521570411790158,0.13897743677501945
es246,Effects of music on stress induced hormones and oxidative stress levels,10.17826/cumj.735738,Cukurova Medical Journal,Terzioglu_2020_CMJ,2020,ex001,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Mixed,Mixed,infantile to juvenile,Adolescent,30 d,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1,NA,11,NA,Short,Not reported,Rock,NA,Popular Contemporary Music,120,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,Not reported,0,Figure 1,Terzioglu_2020_fig_1,control_,rock,control_rock,No,NA,12,11.333,62.205,12.441,43.097,NA,75.591,10.709,35.517,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,4,Terzioglu_2020_CMJ_Ex-ID,0.1949018461132551,0.05948014151175945,-0.19050782177697778,0.0938432031531809,-0.3854096678902328,0.15332334466494033
es247,Effects of music on stress induced hormones and oxidative stress levels,10.17826/cumj.735738,Cukurova Medical Journal,Terzioglu_2020_CMJ,2020,ex001,NA,out003,NA,Rattus norvegicus,Rat,Wistar,Mixed,Mixed,infantile to juvenile,Adolescent,30 d,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,1,NA,11,NA,Short,Not reported,sufi,NA,Traditional Music / Folk / World,30,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Tail Suspension Test (TST),NA,Immobility,time,s,Not reported,0,Figure 1,Terzioglu_2020_fig_1,control_,sufi,control_sufi,No,NA,12,11.333,62.205,12.441,43.097,NA,53.701,7.087,23.504,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,4,Terzioglu_2020_CMJ_Ex-ID,-0.14700375905109286,0.05690360183627817,-0.6033486574430651,0.0938432031531809,-0.45634489839197234,0.15074680498945905
es248,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex001,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,ambiet sound,40,NA,Not applicable,2,Anxiety,Open Field Test,NA,Motion,distance,m,light phase,2,Figure 1,Li_2010_fig_1A,wild.ambient_,wild.music,wild.ambient_wild.music,Yes,NA,7.5,7.5,41.531,1.466,5.285,NA,40.635,1.629,5.872,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,0.021810372126651347,0.004943418906808595,0.10532267199001355,0.15384615384615385,0.12713304411666465,0.15878957275296243
es249,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex002,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,ambiet sound,40,NA,Not applicable,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,light phase,2,Figure 1,Li_2010_fig_1b,wild.ambient_,wild.music,wild.ambient_wild.music,Yes,NA,7.5,7.5,18.144,2.09,7.537,NA,20.318,1.505,5.426,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.060815832120690805,0.009357088266615089,NA,NA,NA,NA
es250,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex001,NA,out001,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,white noise,60,NA,300-10000,2,Anxiety,Open Field Test,NA,Motion,distance,m,light phase,2,Figure 1,Li_2010_fig_1A,wild.wn,wild.music,wild.wnwild.music,Yes,NA,7.5,7.5,39.169,3.746,13.506,NA,40.635,1.629,5.872,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.036744146595467146,0.018637109976898453,-0.8329387398404358,0.15384615384615385,-0.869682886435903,0.1724832638230523
es251,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex002,NA,out002,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,white noise,60,NA,300-10000,2,Anxiety,Open Field Test,NA,Time in center,percentage,%,light phase,2,Figure 1,Li_2010_fig_1b,wild.wn,wild.music,wild.wnwild.music,Yes,NA,7.5,7.5,17.642,1.923,6.934,NA,20.318,1.505,5.426,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.07581029825269772,0.008642674446354491,NA,NA,NA,NA
es252,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex001,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,ambiet sound,40,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Time in open arms,percentage,%,light phase,2,Figure 2,Li_2010_fig_2A,wild.ambient_,wild.music,wild.ambient_wild.music,Yes,NA,7.5,7.5,26.594,2.022,7.29,NA,28.46,2.022,7.29,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.037833421818866085,0.00583888591189712,NA,NA,NA,NA
es253,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex002,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,ambiet sound,40,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Time in open arms,percentage,%,light phase,2,Figure 2,Li_2010_fig_2B,wild.ambient_,wild.music,wild.ambient_wild.music,Yes,NA,7.5,7.5,27.409,2.133,7.69,NA,30.569,1.106,3.987,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.06130466134921389,0.003990742094171462,NA,NA,NA,NA
es254,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex001,NA,out003,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,white noise,60,NA,300-10000,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,light phase,2,Figure 2,Li_2010_fig_2A,wild.wn,wild.music,wild.wnwild.music,Yes,NA,7.5,7.5,24.028,2.955,10.654,NA,28.46,2.022,7.29,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.09385073636459948,0.010645174084923482,NA,NA,NA,NA
es255,Anxiolytic effect of music exposure on BDNFMet/Met transgenic mice,10.1016/j.brainres.2010.05.080,Brain Research,Li_2010_BR,2010,ex002,NA,out004,NA,Mus musculus,Mouse,C57BL/6,Male,Young adult,2-3 months,Young adult,NA,Factorial,Randomized block - assigned by age,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Before,NA,Single trial,NA,6,NA,21,NA,Short,dark phase,mixed,NA,Mixed,50-60,300-10000,2,white noise,60,NA,300-10000,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,percentage,%,light phase,2,Figure 2,Li_2010_fig_2B,wild.wn,wild.music,wild.wnwild.music,Yes,NA,7.5,7.5,25.355,2.607,9.398,NA,30.569,1.106,3.987,NA,NA,No,NA,Yes,Yes,not reported,No,NA,No,NA,3,9,Li_2010_BR_Ex-ID,-0.10452628008832532,0.006313807362568609,NA,NA,NA,NA
es256,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex001,NA,out001,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Motion,distance,cm,light phase,2,Figure 1,Chikahisa_2007_fig_1A,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,NA,13.5,13.5,1519.174,194.69,701.966,NA,1787.611,76.696,276.532,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Chikahisa_2007_BBR_Ex-ID,-0.16271332546130918,0.017588116335219645,-0.9315584231696478,0.08,-1.0942717486309572,0.09758811633521965
es257,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex001,NA,out002,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Distance open arm,distance,cm,light phase,2,Figure 1,Chikahisa_2007_fig_1B,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,NA,13.5,13.5,178.475,53.812,194.021,NA,467.265,74.439,268.395,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Chikahisa_2007_BBR_Ex-ID,-0.9624480131605985,0.11197976994558324,0.3244933753842558,0.08,-0.6379546377763426,0.19197976994558325
es258,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex001,NA,out003,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Time in open arms,percentage,%,light phase,2,Figure 1,Chikahisa_2007_fig_1C,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,NA,13.5,13.5,11.591,3.011,10.858,NA,29.659,4.545,16.389,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Chikahisa_2007_BBR_Ex-ID,-0.5054758405586127,0.02484168307859171,NA,NA,NA,NA
es259,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex001,NA,out004,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,ambiet sound,55,NA,Not applicable,2,Anxiety,Elevated Plus Maze,NA,Open arm entries,count,N/A,light phase,2,Figure 1,Chikahisa_2007_fig_1D,SILENCE_,MUSIC,SILENCE_MUSIC,Yes,NA,13.5,13.5,6.545,1.316,4.746,NA,13.382,1.463,5.273,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,7,Chikahisa_2007_BBR_Ex-ID,-0.7152091209987619,0.05045065488490886,0.1052973025347608,0.08,-0.6099118184640012,0.13045065488490887
es260,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex002,NA,out001,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,NA,Not reported,1,Anxiety,Elevated Plus Maze,NA,Motion,distance,cm,light phase,2,Figure 1,Chikahisa_2007_fig_1A,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,NA,13.5,13.5,1480.826,147.493,531.792,NA,1787.611,76.696,276.532,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,6,Chikahisa_2007_BBR_Ex-ID,-0.18828005136040393,0.01132564477413483,-0.6539258888116143,0.08,-0.8422059401720186,0.09132564477413484
es261,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex002,NA,out002,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,NA,Not reported,1,Anxiety,Elevated Plus Maze,NA,Distance open arm,distance,cm,light phase,2,Figure 1,Chikahisa_2007_fig_1B,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,NA,13.5,13.5,163.229,34.081,122.88,NA,467.265,74.439,268.395,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,6,Chikahisa_2007_BBR_Ex-ID,-1.0517424257267627,0.06641847358545352,0.7812515066125728,0.08,-0.2704909191141897,0.14641847358545354
es262,Anxiolytic effect of music depends on ovarian steroid in female mice,10.1016/j.bbr.2007.01.010,Behavioural Brain Research,Chikahisa_2007_BBR,2007,ex002,NA,out003,NA,Mus musculus,Mouse,Slc:ddY,Female,Unclear,NA,Unclear,NA,Posttest-Only Control Group,NA,Independent,No,NA,Innate,NA,NA,NA,NA,NA,NA,None,NA,Both,NA,Single trial,NA,0.6,NA,1,NA,Acute,light phase,classical,Mozart k.448,Western Art Music / Orchestral,65-75,Not reported,1,white noise,70,NA,Not reported,1,Anxiety,Elevated Plus Maze,NA,Time in open arms,percentage,%,light phase,2,Figure 1,Chikahisa_2007_fig_1C,WHITENOISE_,MUSIC,WHITENOISE_MUSIC,Yes,NA,13.5,13.5,10.625,2.045,7.375,NA,29.659,4.545,16.389,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,6,Chikahisa_2007_BBR_Ex-ID,-0.5507399503891149,0.016809797972253612,NA,NA,NA,NA
