model,ri,rho,k,estimate,se,ci.lb,ci.ub,tval,pval,anxiety_est,depression_est
lnVR_contrast_depression_minus_anxiety,0.9,0.25,219,-0.6213991071020178,0.21917212273672954,-1.053377783309937,-0.18942043089409877,-2.8352105155656364,0.0050122863084099386,0.30557766695024935,-0.3158214401517685
lnRR_overall,0.9,0.5,298,-0.23397431825403117,0.06844315325141083,-0.36866931627760724,-0.09927932023045508,-3.418520438334834,7.17635357760372e-4,NA,NA
lnVR_overall,0.9,0.5,222,0.1273548296730619,0.12214432326519883,-0.11336186130652198,0.36807152065264576,1.042658604743751,0.2982456552377861,NA,NA
lnVR_contrast_depression_minus_anxiety,0.9,0.5,219,-0.619444545714137,0.21960989673287745,-1.052286055337971,-0.1866030360903031,-2.820658608421452,0.005236771475995134,0.30069349854660815,-0.31875104716752883
lnRR_overall,0.9,0.75,298,-0.22862477355926095,0.06833437057947069,-0.36310568907661245,-0.09414385804190945,-3.345677608801235,9.263113449027856e-4,NA,NA
lnVR_overall,0.9,0.75,222,0.12023591995076537,0.11938075250288906,-0.11503444662005514,0.3555062865215859,1.0071633611779722,0.3149577274734325,NA,NA
lnVR_contrast_depression_minus_anxiety,0.9,0.75,219,-0.617219739119766,0.21996899228305866,-1.050769010380721,-0.18367046785881114,-2.8059397495694323,0.005473099837516945,0.29553038307930823,-0.3216893560404578
lnRR_overall,0.9,0.9,298,-0.22617289330238802,0.06846913357572895,-0.36091902017620614,-0.09142676642856992,-3.303282537557364,0.0010724926385955352,NA,NA
lnVR_overall,0.9,0.9,222,0.11566932034050002,0.11765097185726568,-0.1161920701763869,0.34753071085738696,0.9831565223348108,0.32660550142836176,NA,NA
lnVR_contrast_depression_minus_anxiety,0.9,0.9,219,-0.615768223437789,0.22014878003185218,-1.049671848494986,-0.18186459838059194,-2.797054897822721,0.005620407204675707,0.2922792719063308,-0.32348895153145824
